date,open,high,low,close,volume,adjusted,oi
2010-03-24,1358.812,1362.4365,1351.5333,1357.1109,149813211.7529849,1357.1109,6112286.0
2010-03-25,1357.9448,1363.842,1356.9628,1363.5468,136037632.1487786,1363.5468,6149238.0
2010-03-26,1362.3896,1371.2592,1360.7229,1371.2592,142804562.571765,1371.2592,6142448.0
2010-03-29,1377.2396,1384.2654,1375.7043,1382.3384,165217160.8676631,1382.3384,6209508.0
2010-03-30,1386.706,1386.8296,1377.7998,1381.7674,163960989.227125,1381.7674,6018776.0
2010-03-31,1384.8004,1385.5435,1375.5994,1375.5994,119856813.03774,1375.5994,5970316.0
2010-04-01,1372.9097,1382.7175,1372.8029,1379.0953,116905791.5691928,1379.0953,6097172.0
2010-04-02,1384.2969,1388.6746,1382.2425,1388.6746,120574616.650593,1388.6746,6103930.0
2010-04-06,1391.1504,1401.9331,1389.9475,1395.8909,136443131.449663,1395.8909,6182708.0
2010-04-07,1397.3016,1399.3413,1394.0087,1398.4013,118514370.1648589,1398.4013,6298542.0
2010-04-08,1394.4104,1395.0304,1385.3141,1385.3141,121145121.9377695,1385.3141,6183228.0
2010-04-09,1389.0471,1394.4681,1389.0471,1394.284,124888423.3564656,1394.284,6208988.0
2010-04-12,1400.9445,1406.5132,1396.7422,1399.5688,140684851.4333401,1399.5688,6227860.0
2010-04-13,1394.8872,1398.9858,1391.1472,1396.6961,141060817.5424708,1396.6961,6267884.0
2010-04-14,1403.3338,1404.4478,1400.4267,1400.4267,117461254.5356733,1400.4267,6338568.0
2010-04-15,1405.7784,1405.7784,1398.48,1398.887,114212021.3570318,1398.887,6373768.0
2010-04-16,1402.0792,1403.2149,1396.0823,1398.6756,107511264.890672,1398.6756,6256272.0
2010-04-19,1383.4589,1383.4589,1367.9108,1369.2679,130782837.9068932,1369.2679,6103202.0
2010-04-20,1378.0983,1382.1586,1377.3852,1382.1275,103816889.3093522,1382.1275,6166618.0
2010-04-21,1382.7405,1383.681,1379.1741,1382.6209,108803127.5772612,1382.6209,6277922.0
2010-04-22,1378.5838,1381.5667,1375.1768,1378.8834,111446654.6001316,1378.8834,6338810.0
2010-04-23,1378.4143,1383.5024,1378.4143,1379.9106,114025907.1040193,1379.9106,6258438.0
2010-04-26,1388.0972,1388.7162,1382.1487,1383.8974,142883664.9588067,1383.8974,6458220.0
2010-04-27,1379.7537,1379.7537,1368.2907,1372.9845,137025063.9987942,1372.9845,6404342.0
2010-04-28,1349.4428,1360.3872,1345.9381,1355.523,139301723.8315702,1355.523,6326456.0
2010-04-29,1358.1027,1360.0302,1354.2294,1355.2193,122426752.1699543,1355.2193,6375362.0
2010-04-30,1358.6905,1361.764,1349.2547,1359.8753,124281644.9375085,1359.8753,6338728.0
2010-05-04,1353.456,1353.7931,1346.2294,1348.5109,122115121.8519885,1348.5109,6511570.0
2010-05-05,1330.3649,1340.5676,1329.4115,1340.4545,124511844.5255144,1340.4545,6648334.0
2010-05-06,1340.0925,1344.8598,1328.5682,1328.5682,153394295.0696726,1328.5682,6560832.0
2010-05-07,1315.8913,1318.3533,1305.0604,1305.363,150344135.2105496,1305.363,6267270.0
2010-05-10,1319.2908,1327.873,1313.9025,1327.5288,136900467.0165717,1327.5288,6224708.0
2010-05-11,1326.4704,1329.396,1312.9074,1313.9817,138384172.905196,1313.9817,6180550.0
2010-05-12,1313.7337,1327.5232,1313.7337,1321.5527,161871914.1797309,1321.5527,6233852.0
2010-05-13,1325.7153,1328.6331,1320.3292,1328.4323,121622616.0525764,1328.4323,6260216.0
2010-05-14,1323.7302,1324.8686,1314.3502,1314.5577,144605290.7303766,1314.5577,6331504.0
2010-05-17,1300.9514,1302.7579,1273.4487,1277.6122,165827523.7092708,1277.6122,6176136.0
2010-05-18,1271.6742,1288.3013,1264.4891,1286.8738,172280618.0157372,1286.8738,5906882.0
2010-05-19,1271.3167,1287.9315,1265.3781,1279.8933,183597773.8590813,1279.8933,5985414.0
2010-05-20,1287.0939,1294.7544,1280.3703,1285.9784,154686739.8419913,1285.9784,6062908.0
2010-05-21,1276.1162,1282.5553,1270.7019,1281.5564,155550463.1564242,1281.5564,6033736.0
2010-05-24,1289.5933,1299.2595,1286.4681,1298.6707,146035628.5484252,1298.6707,6116340.0
2010-05-25,1289.7156,1293.2307,1280.48,1280.48,156326322.1617806,1280.48,6187186.0
2010-05-26,1291.5935,1294.7612,1288.2691,1294.5248,138485976.6356915,1294.5248,6171878.0
2010-05-27,1292.1244,1300.9111,1288.917,1300.7588,141777977.7974121,1300.7588,6182154.0
2010-05-28,1307.4635,1307.4635,1297.8836,1300.7071,157797497.8891733,1300.7071,6211632.0
2010-05-31,1293.7942,1299.6933,1291.8847,1292.0523,147570282.2564339,1292.0523,6259970.0
2010-06-01,1290.8253,1291.3368,1282.3249,1282.3249,181748548.7683679,1282.3249,8052030.0
2010-06-02,1281.5859,1285.4453,1264.8555,1276.3567,222444122.8335688,1276.3567,8046150.0
2010-06-03,1281.5082,1281.5631,1271.9246,1277.5587,217617345.4194755,1277.5587,7986876.0
2010-06-04,1268.2791,1272.2661,1265.0157,1270.3022,180046376.9146025,1270.3022,7924914.0
2010-06-07,1233.896,1233.896,1227.8527,1229.3292,189745885.8793355,1229.3292,7914504.0
2010-06-08,1227.9134,1234.6407,1225.9382,1234.2682,175071045.0951006,1234.2682,7727300.0
2010-06-09,1234.6777,1247.7135,1229.6286,1247.4999,196047545.9878362,1247.4999,7622868.0
2010-06-10,1245.2306,1251.3947,1241.8163,1245.064,165041554.7938743,1245.064,7296344.0
2010-06-11,1251.1269,1255.5675,1251.1269,1255.0161,130068649.352782,1255.0161,6956184.0
2010-06-17,1270.5486,1270.5486,1257.335,1257.5464,112200333.0755817,1257.5464,7005696.0
2010-06-18,1257.8829,1260.8129,1251.6746,1251.6746,177586053.7160966,1251.6746,7353358.0
2010-06-21,1260.5183,1285.6632,1258.8241,1281.431,212777210.6696927,1281.431,7448326.0
2010-06-22,1270.5392,1275.2916,1268.8601,1271.8184,168643715.7411912,1271.8184,7409200.0
2010-06-23,1264.6205,1275.2471,1261.3197,1270.7015,220570419.5061217,1270.7015,7428218.0
2010-06-24,1270.6408,1279.5712,1270.6408,1276.7295,175260314.8654892,1276.7295,7470242.0
2010-06-25,1277.9636,1278.1922,1269.9536,1272.5075,164626558.3047702,1272.5075,7436232.0
2010-06-28,1280.0863,1285.0024,1275.4887,1275.9884,174694374.3558762,1275.9884,7441496.0
2010-06-29,1270.09,1272.8888,1256.3902,1258.4786,175679661.6795195,1258.4786,7331082.0
2010-06-30,1247.9548,1252.9812,1245.9743,1252.9812,155856915.9750058,1252.9812,7306602.0
2010-07-01,1249.163,1254.1294,1242.5127,1242.7929,179924292.0918446,1242.7929,7364422.0
2010-07-02,1242.1042,1255.0512,1241.6712,1254.4872,187791180.7272028,1254.4872,7351266.0
2010-07-05,1253.2543,1260.1237,1249.9887,1256.886,182446561.4664149,1256.886,7524970.0
2010-07-06,1249.0404,1255.5681,1247.5551,1254.6793,186817627.0264242,1254.6793,7574776.0
2010-07-07,1255.7728,1257.8431,1251.6108,1253.1936,149967341.9269611,1253.1936,7689410.0
2010-07-08,1267.7374,1268.1604,1260.3651,1260.3651,154702057.8875067,1260.3651,7734668.0
